cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
BRCA	cis	1	rs1000083	chr5:96533469	ERAP2	chr5:96211644-96255398:+	-0.28	-4.05	5.6E-5	Cisplatin-induced ototoxicity	
BRCA	cis	1	rs3773621	chr3:150996434	P2RY14	chr3:150929905-150996230:-	-0.08	-3.71	0.000214	Lung function (forced expiratory flow between 25% and 75% of forced vital capacity)	
BRCA	cis	1	rs3774372	chr3:41877414	ULK4	chr3:41288091-42003660:-	0.52	14.28	1.87E-42	Diastolic blood pressure	
BRCA	cis	1	rs3774808	chr3:48481647	TREX1	chr3:48501186-48509043:+	-0.29	-10.88	3.3E-26	Longevity	
BRCA	cis	1	rs3774957	chr4:103509025	MANBA	chr4:103552644-103682151:-	0.17	4.13	3.84E-5	Ulcerative colitis	
BRCA	cis	1	rs3775870	chr4:68446421	STAP1	chr4:68424446-68473053:+	-0.18	-6.19	8.41E-10	Parkinson's disease	
BRCA	cis	1	rs3778483	chr6:46627100	CYP39A1	chr6:46517445-46620523:-	-0.11	-3.6	0.000331	QRS complex (Sokolow-Lyon)	
BRCA	cis	1	rs3778483	chr6:46627100	SLC25A27	chr6:46620679-46645925:+	-0.14	-5.08	4.52E-7	QRS complex (Sokolow-Lyon)	
BRCA	cis	1	rs3778909	chr7:66255646	CRCP	chr7:65579805-65619551:+	-0.13	-3.53	0.000439	Aortic root size	
BRCA	cis	1	rs3778909	chr7:66255646	TYW1	chr7:66461817-66704496:+	0.14	3.69	0.000235	Aortic root size	
BRCA	cis	1	rs3780849	chr10:29804245	LOC387647	chr10:29698483-29776785:+	0.14	3.77	0.000171	Platelet thrombus formation	
BRCA	cis	1	rs3781001	chr10:127706028	UROS	chr10:127477148-127511837:-	-0.17	-4.91	1.07E-6	Visceral fat	
BRCA	cis	1	rs3782130	chr12:58161898	B4GALNT1	chr12:58019551-58026985:-	0.13	3.91	9.92E-5	Multiple sclerosis	
BRCA	cis	1	rs3782130	chr12:58161898	FAM119B	chr12:58166383-58176323:+	0.41	10.18	2.79E-23	Multiple sclerosis	
BRCA	cis	1	rs3782130	chr12:58161898	SLC26A10	chr12:58013693-58019933:+	0.12	3.38	0.000764	Multiple sclerosis	
BRCA	cis	1	rs3782130	chr12:58161898	TSFM	chr12:58176536-58191367:+	-0.33	-9.74	1.52E-21	Multiple sclerosis	
BRCA	cis	1	rs3782130	chr12:58161898	XRCC6BP1	chr12:58335445-58351051:+	-0.17	-4.77	2.09E-6	Multiple sclerosis	
BRCA	cis	1	rs3782707	chr12:107185187	C12orf23	chr12:107349544-107367811:+	-0.15	-3.73	0.000198	Social autistic-like traits	
BRCA	cis	1	rs3782707	chr12:107185187	MTERFD3	chr12:107371069-107380929:-	-0.15	-4.16	3.42E-5	Social autistic-like traits	
BRCA	cis	1	rs3782894	chr12:110026024	MYO1H	chr12:109826524-109886176:+	0.27	8.34	2.33E-16	HDL cholesterol	
BRCA	cis	1	rs3786835	chr19:39155880	LGALS7	chr19:39261608-39264157:-	-0.19	-5.92	4.38E-9	Heart rate	
BRCA	cis	1	rs3786845	chr19:39195083	LGALS7	chr19:39261608-39264157:-	-0.19	-5.84	6.93E-9	Heart rate	
BRCA	cis	1	rs3786845	chr19:39195083	ZNF607	chr19:38187276-38210691:-	0.13	3.52	0.000454	Heart rate	
BRCA	cis	1	rs3786848	chr19:39207329	LGALS4	chr19:39292312-39303740:-	-0.11	-3.49	0.000502	Heart rate	
BRCA	cis	1	rs3786848	chr19:39207329	LGALS7	chr19:39261608-39264157:-	-0.2	-6.32	3.85E-10	Heart rate	
BRCA	cis	1	rs3786851	chr19:39215333	LGALS4	chr19:39292312-39303740:-	-0.11	-3.47	0.000545	Heart rate	
BRCA	cis	1	rs3786851	chr19:39215333	LGALS7	chr19:39261608-39264157:-	-0.2	-6.23	6.78E-10	Heart rate	
BRCA	cis	1	rs3787395	chr20:55078573	C20orf43	chr20:55043647-55093942:+	-0.17	-4.76	2.22E-6	Refractive astigmatism	
BRCA	cis	1	rs3787498	chr20:23616781	CST1	chr20:23728191-23731574:-	0.23	4.92	1.02E-6	Chronic kidney disease	
BRCA	cis	1	rs3787499	chr20:23616807	CST1	chr20:23728191-23731574:-	0.23	4.86	1.32E-6	Chronic kidney disease	
BRCA	cis	1	rs3789967	chr12:124447339	DNAH10	chr12:124247042-124420265:+	0.26	6.82	1.48E-11	Waist-to-hip ratio adjusted for body mass index	
BRCA	cis	1	rs3790012	chr13:36773489	SOHLH2	chr13:36742347-36871992:-	0.19	5.08	4.47E-7	Glucose homeostasis traits	
BRCA	cis	1	rs3791185	chr1:107600869	PRMT6	chr1:107599267-107601907:+	0.2	3.79	0.00016	AIDS	
BRCA	cis	1	rs3791220	chr2:227066	SH3YL1	chr2:218138-264810:-	-0.68	-20.47	8.78E-79	Spherical equivalent (joint main effects and education interaction)	
BRCA	cis	1	rs3791221	chr2:226933	SH3YL1	chr2:218138-264810:-	-0.68	-20.54	2.93E-79	Spherical equivalent (joint main effects and education interaction)	
BRCA	cis	1	rs3791223	chr2:222336	SH3YL1	chr2:218138-264810:-	-0.7	-20.58	1.53E-79	Spherical equivalent (joint main effects and education interaction)	
BRCA	cis	1	rs3791224	chr2:221981	SH3YL1	chr2:218138-264810:-	-0.68	-20.41	1.89E-78	Spherical equivalent (joint main effects and education interaction)	
BRCA	cis	1	rs379161	chr6:13717387	RANBP9	chr6:13621731-13711796:-	-0.11	-3.65	0.000272	Breast cancer	
BRCA	cis	1	rs3792112	chr2:234176609	SAG	chr2:234216309-234255701:+	0.13	4.05	5.53E-5	Crohn's disease	
BRCA	cis	1	rs3792527	chr3:38493212	XYLB	chr3:38388251-38456467:+	0.19	5.45	6.36E-8	Electrocardiographic conduction measures	
BRCA	cis	1	rs3793080	chr6:33767803	IP6K3	chr6:33689443-33714762:-	-0.2	-3.77	0.000173	Obesity (extreme)	
BRCA	cis	1	rs3793706	chr10:102269085	SEC31B	chr10:102246403-102289636:-	0.29	11	1.0E-26	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs3793771	chr10:102222957	SEC31B	chr10:102246403-102289636:-	-0.28	-10.58	6.18E-25	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs3793772	chr10:102222825	SEC31B	chr10:102246403-102289636:-	-0.28	-10.51	1.21E-24	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs3795649	chr1:161931562	ATF6	chr1:161736084-161932960:+	-0.08	-3.38	0.000763	Parkinson's disease (age of onset)	
BRCA	cis	1	rs3795819	chr1:113234179	ST7L	chr1:113066142-113162405:-	-0.57	-12.65	2.78E-34	Diastolic blood pressure;Blood pressure	
BRCA	cis	1	rs3796093	chr2:242039198	MTERFD2	chr2:242034545-242041747:-	0.25	3.78	0.000167	Pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio)	
BRCA	cis	1	rs3796104	chr2:160117045	WDSUB1	chr2:160092305-160143236:-	0.32	3.86	0.00012	Sudden cardiac arrest	
BRCA	cis	1	rs3796509	chr4:39110186	KLHL5	chr4:39046659-39123828:+	-0.16	-4.82	1.68E-6	Uric acid levels	
BRCA	cis	1	rs3796511	chr4:39122206	KLHL5	chr4:39046659-39123828:+	-0.15	-4.65	3.69E-6	Uric acid levels	
BRCA	cis	1	rs3796619	chr4:1095281	KIAA1530	chr4:1341104-1381836:+	0.11	3.74	0.000193	Recombination rate (males)	
BRCA	cis	1	rs3796689	chr4:185649866	CASP3	chr4:185548852-185570629:-	0.12	3.54	0.000424	Kawasaki disease	
BRCA	cis	1	rs3796689	chr4:185649866	CCDC111	chr4:185570767-185616112:+	0.13	3.66	0.000265	Kawasaki disease	
BRCA	cis	1	rs3796689	chr4:185649866	MLF1IP	chr4:185615220-185655286:-	-0.42	-16.2	5.97E-53	Kawasaki disease	
BRCA	cis	1	rs3798390	chr6:117726553	ROS1	chr6:117609530-117747018:-	-0.15	-5.02	5.98E-7	Lung cancer	
BRCA	cis	1	rs3798393	chr6:117731968	ROS1	chr6:117609530-117747018:-	-0.15	-4.9	1.09E-6	Lung cancer	
BRCA	cis	1	rs3798394	chr6:117732362	ROS1	chr6:117609530-117747018:-	-0.14	-4.78	2.01E-6	Lung cancer	
BRCA	cis	1	rs3798867	chr6:84331841	SNAP91	chr6:84262607-84419127:-	0.12	3.62	0.00031	Schizophrenia	
BRCA	cis	1	rs3800457	chr6:34663598	UHRF1BP1	chr6:34759794-34853117:+	-0.16	-4.45	9.45E-6	Pubertal anthropometrics	
BRCA	cis	1	rs3800812	chr7:66223461	CRCP	chr7:65579805-65619551:+	-0.13	-3.54	0.00041	Aortic root size	
BRCA	cis	1	rs3800812	chr7:66223461	LOC493754	chr7:65993446-66057363:-	-0.13	-3.42	0.000661	Aortic root size	
BRCA	cis	1	rs3800812	chr7:66223461	TYW1	chr7:66461817-66704496:+	0.14	3.76	0.000178	Aortic root size	
BRCA	cis	1	rs3802681	chr10:104114328	PITX3	chr10:103989946-104001231:-	-0.12	-3.43	0.000637	QT interval	
BRCA	cis	1	rs3803106	chr12:62670895	FAM19A2	chr12:62102043-62653925:-	0.17	3.78	0.000168	Pyoderma gangrenosum in inflammatory bowel disease	
BRCA	cis	1	rs3803575	chr16:15138447	C16orf63	chr16:15959577-15982447:-	0.14	3.97	7.7E-5	Metabolic traits;Glycerophospholipid levels	
BRCA	cis	1	rs3804105	chr6:25612683	SCGN	chr6:25652429-25702006:+	0.19	5.21	2.23E-7	Uric acid levels	
BRCA	cis	1	rs3804106	chr6:25608374	HIST1H2BC	chr6:26114633-26124154:-	0.13	3.4	0.000695	Uric acid levels	
BRCA	cis	1	rs3804106	chr6:25608374	SCGN	chr6:25652429-25702006:+	0.2	5.51	4.57E-8	Uric acid levels	
BRCA	cis	1	rs3804108	chr6:25608215	HIST1H2BC	chr6:26114633-26124154:-	0.13	3.4	0.000695	Uric acid levels	
BRCA	cis	1	rs3804108	chr6:25608215	SCGN	chr6:25652429-25702006:+	0.2	5.51	4.57E-8	Uric acid levels	
BRCA	cis	1	rs3804109	chr6:25608009	HIST1H2BC	chr6:26114633-26124154:-	0.13	3.4	0.000695	Uric acid levels	
BRCA	cis	1	rs3804109	chr6:25608009	SCGN	chr6:25652429-25702006:+	0.2	5.51	4.57E-8	Uric acid levels	
BRCA	cis	1	rs3804118	chr6:25592651	HIST1H2BC	chr6:26114633-26124154:-	0.14	3.43	0.00063	Uric acid levels	
BRCA	cis	1	rs3804118	chr6:25592651	SCGN	chr6:25652429-25702006:+	0.22	5.9	4.99E-9	Uric acid levels	
BRCA	cis	1	rs3804508	chr6:52289961	EFHC1	chr6:52284994-52387892:+	0.16	4.19	3.03E-5	Atopic march	
BRCA	cis	1	rs3805383	chr4:56475338	SRD5A3	chr4:56212409-56237866:+	-0.16	-4.14	3.69E-5	Waist-to-hip ratio adjusted for body mass index	
BRCA	cis	1	rs3805389	chr4:56482750	SRD5A3	chr4:56212409-56237866:+	-0.17	-4.25	2.28E-5	Waist-to-hip ratio adjusted for body mass index	
BRCA	cis	1	rs3806107	chr6:33767413	IP6K3	chr6:33689443-33714762:-	0.23	4.22	2.62E-5	Obesity (extreme)	
BRCA	cis	1	rs3806407	chr1:156251742	BGLAP	chr1:156182784-156213112:+	0.21	5.54	3.71E-8	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs3806407	chr1:156251742	C1orf85	chr1:156259882-156265449:-	-0.11	-3.52	0.000457	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs3806408	chr1:156252137	BGLAP	chr1:156182784-156213112:+	0.21	5.54	3.71E-8	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs3806408	chr1:156252137	C1orf85	chr1:156259882-156265449:-	-0.11	-3.52	0.000457	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs3806409	chr1:156252291	BGLAP	chr1:156182784-156213112:+	0.21	5.54	3.71E-8	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs3806409	chr1:156252291	C1orf85	chr1:156259882-156265449:-	-0.11	-3.52	0.000457	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs3806988	chr6:49431569	CENPQ	chr6:49431096-49460820:+	-0.22	-7.33	4.46E-13	Folate pathway vitamin levels	
BRCA	cis	1	rs3806988	chr6:49431569	MUT	chr6:49398994-49431031:-	0.34	10.68	2.35E-25	Folate pathway vitamin levels	
BRCA	cis	1	rs3808894	chr9:100686129	C9orf156	chr9:100666772-100684852:-	-0.17	-4.66	3.53E-6	Quantitative traits	
BRCA	cis	1	rs3809060	chr11:32458807	WIT1	chr11:32457285-32468261:+	-0.14	-3.69	0.000232	Inguinal hernia	
BRCA	cis	1	rs3809117	chr12:122630285	LRRC43	chr12:122652266-122688017:+	-0.18	-5.08	4.55E-7	Urate levels	
BRCA	cis	1	rs3809868	chr17:45750596	C17orf57	chr17:45401142-45518675:+	-0.29	-10.04	9.9E-23	Very long-chain saturated fatty acid levels (fatty acid 20:0)	
BRCA	cis	1	rs3809868	chr17:45750596	TBKBP1	chr17:45772630-45789427:+	0.14	4.26	2.19E-5	Very long-chain saturated fatty acid levels (fatty acid 20:0)	
BRCA	cis	1	rs3810174	chr19:41904165	B3GNT8	chr19:41931265-41934635:-	-0.23	-7.17	1.35E-12	Height	
BRCA	cis	1	rs3810175	chr19:41904396	B3GNT8	chr19:41931265-41934635:-	0.24	7.21	1.05E-12	Height	
BRCA	cis	1	rs3810176	chr19:49496786	RPS11	chr19:49999634-50002944:+	0.15	3.77	0.000171	Follicule stimulating hormone	
BRCA	cis	1	rs3811053	chr2:113830926	RABL2A	chr2:114384817-114400974:+	0.15	3.4	0.000687	Stroke	
BRCA	cis	1	rs3814184	chr10:69966251	PBLD	chr10:70042417-70092684:-	0.21	4.21	2.72E-5	Optic nerve measurement (disc area)	
BRCA	cis	1	rs3815292	chr2:242032762	MTERFD2	chr2:242034545-242041747:-	0.25	3.74	0.00019	Pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio)	
BRCA	cis	1	rs3815475	chr2:160114315	WDSUB1	chr2:160092305-160143236:-	0.28	3.41	0.000668	Sudden cardiac arrest	
BRCA	cis	1	rs3815824	chr16:29852860	LOC440356	chr16:29875004-29879374:+	-0.28	-5.75	1.17E-8	Multiple sclerosis	
BRCA	cis	1	rs3816037	chr19:41918009	B3GNT8	chr19:41931265-41934635:-	-0.22	-6.71	3.11E-11	Height	
BRCA	cis	1	rs3816587	chr4:25417244	ZCCHC4	chr4:25314396-25372003:+	-0.11	-3.46	0.000568	Rheumatoid arthritis	
BRCA	cis	1	rs3816804	chr12:56680745	RPS26	chr12:56435686-56438005:+	0.28	4.29	1.93E-5	Height	
BRCA	cis	1	rs3818187	chr14:52509788	NID2	chr14:52471521-52535946:-	-0.08	-3.76	0.000178	Waist-to-hip ratio adjusted for body mass index	
BRCA	cis	1	rs3818233	chr6:101086372	ASCC3	chr6:100956609-101329224:-	-0.11	-4.38	1.29E-5	Menarche (age at onset)	
BRCA	cis	1	rs3818361	chr1:207784968	FAIM3	chr1:207076633-207096592:-	0.13	3.41	0.000674	Alzheimer's disease (late onset)	
BRCA	cis	1	rs3823114	chr6:49431720	CENPQ	chr6:49431096-49460820:+	-0.24	-8.01	2.95E-15	Folate pathway vitamin levels	
BRCA	cis	1	rs3823114	chr6:49431720	MUT	chr6:49398994-49431031:-	0.33	10.42	2.92E-24	Folate pathway vitamin levels	
BRCA	cis	1	rs3824496	chr9:100684645	C9orf156	chr9:100666772-100684852:-	-0.17	-4.66	3.53E-6	Quantitative traits	
BRCA	cis	1	rs3824754	chr10:104614350	SFXN2	chr10:104474298-104498946:+	-0.25	-4.63	4.1E-6	Hypertension;Systolic blood pressure;Diastolic blood pressure	
BRCA	cis	1	rs3824754	chr10:104614350	TMEM180	chr10:104221170-104238858:+	0.23	4.14	3.73E-5	Hypertension;Systolic blood pressure;Diastolic blood pressure	
BRCA	cis	1	rs3824755	chr10:104595849	SFXN2	chr10:104474298-104498946:+	-0.2	-4.05	5.6E-5	Hypertension;Systolic blood pressure;Diastolic blood pressure	
BRCA	cis	1	rs3825079	chr12:58203354	FAM119B	chr12:58166383-58176323:+	0.42	10.2	2.24E-23	Multiple sclerosis	
BRCA	cis	1	rs3825079	chr12:58203354	TSFM	chr12:58176536-58191367:+	-0.36	-10.34	6.23E-24	Multiple sclerosis	
BRCA	cis	1	rs3825079	chr12:58203354	XRCC6BP1	chr12:58335445-58351051:+	-0.19	-5.3	1.43E-7	Multiple sclerosis	
BRCA	cis	1	rs3826656	chr19:51726613	CD33	chr19:51728335-51747115:+	-0.1	-4.18	3.16E-5	Alzheimer's disease	
BRCA	cis	1	rs3827066	chr20:44586023	PLTP	chr20:44527397-44540786:-	0.21	4.98	7.35E-7	Abdominal aortic aneurysm	
BRCA	cis	1	rs3827066	chr20:44586023	WFDC3	chr20:44402847-44420547:-	-0.47	-8.47	7.94E-17	Abdominal aortic aneurysm	
BRCA	cis	1	rs3827107	chr20:55070539	C20orf43	chr20:55043647-55093942:+	0.14	3.9	0.000102	Refractive astigmatism	
BRCA	cis	1	rs3827142	chr20:23617007	CST1	chr20:23728191-23731574:-	0.23	4.86	1.32E-6	Chronic kidney disease	
BRCA	cis	1	rs3827143	chr20:23619617	CST1	chr20:23728191-23731574:-	0.24	5.14	3.32E-7	Chronic kidney disease	
BRCA	cis	1	rs3827316	chr22:23468538	RTDR1	chr22:23401594-23484241:-	-0.17	-4.56	5.62E-6	Bone mineral density	
BRCA	cis	1	rs3827357	chr22:39079413	DDX17	chr22:38879445-38903665:-	-0.1	-3.47	0.000548	Resting heart rate	
BRCA	cis	1	rs3827357	chr22:39079413	JOSD1	chr22:39081549-39096459:-	-0.13	-4.28	2.02E-5	Resting heart rate	
BRCA	cis	1	rs3827357	chr22:39079413	TOMM22	chr22:39077954-39080763:+	-0.11	-3.75	0.000184	Resting heart rate	
BRCA	cis	1	rs3827500	chr6:25607908	HIST1H2BC	chr6:26114633-26124154:-	0.13	3.4	0.000695	Uric acid levels	
BRCA	cis	1	rs3827500	chr6:25607908	SCGN	chr6:25652429-25702006:+	0.2	5.51	4.57E-8	Uric acid levels	
BRCA	cis	1	rs3828165	chr2:220889	SH3YL1	chr2:218138-264810:-	-0.7	-20.54	2.88E-79	Spherical equivalent (joint main effects and education interaction)	
BRCA	cis	1	rs3828309	chr2:234180410	SAG	chr2:234216309-234255701:+	-0.13	-3.99	7.12E-5	Crohn's disease	
BRCA	cis	1	rs3829218	chr11:58331309	CNTF	chr11:58390146-58393203:+	0.18	3.72	0.000211	Lymphoma	
BRCA	cis	1	rs3829640	chr18:72174980	CNDP2	chr18:72163597-72188356:+	0.21	4.46	9.13E-6	Refractive error	
BRCA	cis	1	rs383402	chr7:65586653	CCT6P1	chr7:65216092-65228661:+	-0.28	-6.02	2.43E-9	Diabetic kidney disease	
BRCA	cis	1	rs383402	chr7:65586653	CRCP	chr7:65579805-65619551:+	0.24	4.05	5.39E-5	Diabetic kidney disease	
BRCA	cis	1	rs383402	chr7:65586653	LOC493754	chr7:65993446-66057363:-	-0.2	-3.38	0.000742	Diabetic kidney disease	
BRCA	cis	1	rs3846055	chr3:134203973	ANAPC13	chr3:134196547-134204865:-	0.44	14.67	1.67E-44	Height	
BRCA	cis	1	rs3846055	chr3:134203973	CEP63	chr3:134204575-134293852:+	0.16	4.27	2.17E-5	Height	
BRCA	cis	1	rs3846056	chr3:134227292	ANAPC13	chr3:134196547-134204865:-	0.43	14.46	2.02E-43	Height	
BRCA	cis	1	rs3846056	chr3:134227292	CEP63	chr3:134204575-134293852:+	0.15	4.2	2.89E-5	Height	
BRCA	cis	1	rs3846721	chr5:112754567	YTHDC2	chr5:112849410-112930979:+	-0.13	-3.89	0.000108	Cerebral amyloid angiopathy	
BRCA	cis	1	rs3846772	chr6:87237249	C6orf162	chr6:88032306-88052043:+	-0.15	-4.1	4.51E-5	Gut microbiome composition (winter)	
BRCA	cis	1	rs3846926	chr6:56092186	COL21A1	chr6:55921389-56258892:-	0.69	22.03	6.31E-89	Pulse pressure	
BRCA	cis	1	rs3847687	chr12:131525053	EP400	chr12:132434508-132565004:+	-0.11	-3.51	0.000471	Longevity	
BRCA	cis	1	rs3847688	chr12:131525310	FZD10	chr12:130647032-130650284:+	0.16	4.12	4.17E-5	Longevity	
BRCA	cis	1	rs3848129	chr15:50892064	SPPL2A	chr15:50999739-51057910:-	0.15	5.42	7.4E-8	QT interval	
BRCA	cis	1	rs3857043	chr4:89882590	SPP1	chr4:88896802-88904562:+	0.1	3.39	0.00073	Post bronchodilator FEV1;Post bronchodilator FEV1/FVC ratio	
BRCA	cis	1	rs3857610	chr6:56012458	COL21A1	chr6:55921389-56258892:-	-0.38	-7.06	2.95E-12	Psychosis (atypical)	
BRCA	cis	1	rs3857688	chr7:66127806	CRCP	chr7:65579805-65619551:+	0.13	3.38	0.000758	Aortic root size	
BRCA	cis	1	rs3857688	chr7:66127806	TYW1	chr7:66461817-66704496:+	-0.15	-4.02	6.33E-5	Aortic root size	
BRCA	cis	1	rs3858526	chr11:5959757	OR56A3	chr11:5968577-5969522:+	0.12	3.68	0.000247	DNA methylation (variation)	
BRCA	cis	1	rs3858526	chr11:5959757	UBQLNL	chr11:5535624-5537956:-	0.16	3.73	0.0002	DNA methylation (variation)	
BRCA	cis	1	rs3858527	chr11:5959848	OR56A3	chr11:5968577-5969522:+	0.11	3.66	0.000268	DNA methylation (variation)	
BRCA	cis	1	rs3858527	chr11:5959848	UBQLNL	chr11:5535624-5537956:-	0.16	3.72	0.000209	DNA methylation (variation)	
BRCA	cis	1	rs3862008	chr10:96619002	C10orf129	chr10:96953957-96988685:+	0.27	4.73	2.59E-6	Blood metabolite levels	
BRCA	cis	1	rs3862009	chr10:96619025	C10orf129	chr10:96953957-96988685:+	0.35	5.74	1.26E-8	Blood metabolite levels	
BRCA	cis	1	rs3864639	chr7:76738591	POMZP3	chr7:76239304-76256620:-	0.24	5.25	1.83E-7	Obesity-related traits	
BRCA	cis	1	rs3866330	chr3:49582994	AMT	chr3:49454212-49460012:-	0.14	4.68	3.29E-6	Menarche (age at onset)	
BRCA	cis	1	rs3866330	chr3:49582994	CCDC36	chr3:49235861-49295537:+	0.11	4	6.76E-5	Menarche (age at onset)	
BRCA	cis	1	rs3866330	chr3:49582994	GMPPB	chr3:49758932-49761384:-	-0.12	-3.49	0.000505	Menarche (age at onset)	
BRCA	cis	1	rs3866330	chr3:49582994	NCKIPSD	chr3:48711280-48723334:-	0.15	3.92	9.34E-5	Menarche (age at onset)	
BRCA	cis	1	rs3866330	chr3:49582994	P4HTM	chr3:49027341-49044579:+	0.09	3.91	9.81E-5	Menarche (age at onset)	
BRCA	cis	1	rs3866330	chr3:49582994	WDR6	chr3:49044637-49053386:+	-0.15	-4.52	6.77E-6	Menarche (age at onset)	
BRCA	cis	1	rs3870339	chr3:49536863	AMT	chr3:49454212-49460012:-	0.14	4.76	2.18E-6	Menarche (age at onset)	
BRCA	cis	1	rs3870339	chr3:49536863	CCDC36	chr3:49235861-49295537:+	0.1	3.94	8.84E-5	Menarche (age at onset)	
BRCA	cis	1	rs3870339	chr3:49536863	GMPPB	chr3:49758932-49761384:-	-0.12	-3.58	0.000353	Menarche (age at onset)	
BRCA	cis	1	rs3870339	chr3:49536863	NCKIPSD	chr3:48711280-48723334:-	0.16	4.01	6.48E-5	Menarche (age at onset)	
BRCA	cis	1	rs3870339	chr3:49536863	P4HTM	chr3:49027341-49044579:+	0.09	3.78	0.000168	Menarche (age at onset)	
BRCA	cis	1	rs3870339	chr3:49536863	WDR6	chr3:49044637-49053386:+	-0.15	-4.61	4.6E-6	Menarche (age at onset)	
BRCA	cis	1	rs3870341	chr3:49584745	AMT	chr3:49454212-49460012:-	0.14	4.67	3.47E-6	Menarche (age at onset)	
BRCA	cis	1	rs3870341	chr3:49584745	CCDC36	chr3:49235861-49295537:+	0.1	3.98	7.43E-5	Menarche (age at onset)	
BRCA	cis	1	rs3870341	chr3:49584745	GMPPB	chr3:49758932-49761384:-	-0.11	-3.41	0.000664	Menarche (age at onset)	
BRCA	cis	1	rs3870341	chr3:49584745	NCKIPSD	chr3:48711280-48723334:-	0.16	3.94	8.65E-5	Menarche (age at onset)	
BRCA	cis	1	rs3870341	chr3:49584745	P4HTM	chr3:49027341-49044579:+	0.09	3.91	9.91E-5	Menarche (age at onset)	
BRCA	cis	1	rs3870341	chr3:49584745	WDR6	chr3:49044637-49053386:+	-0.15	-4.57	5.53E-6	Menarche (age at onset)	
BRCA	cis	1	rs387676	chr7:65598220	CCT6P1	chr7:65216092-65228661:+	0.33	6.99	4.88E-12	Diabetic kidney disease	
BRCA	cis	1	rs387676	chr7:65598220	LOC493754	chr7:65993446-66057363:-	0.25	4.1	4.42E-5	Diabetic kidney disease	
BRCA	cis	1	rs3885839	chr7:65290403	CCT6P1	chr7:65216092-65228661:+	0.33	7.01	4.34E-12	Diabetic kidney disease	
BRCA	cis	1	rs3885839	chr7:65290403	LOC493754	chr7:65993446-66057363:-	0.2	3.38	0.000756	Diabetic kidney disease	
BRCA	cis	1	rs3885839	chr7:65290403	ZNF117	chr7:64434830-64467121:-	-0.27	-4.91	1.07E-6	Diabetic kidney disease	
BRCA	cis	1	rs3892630	chr19:33181484	NUDT19	chr19:33182867-33204701:+	0.24	5.38	9.25E-8	Red blood cell traits	
BRCA	cis	1	rs3892761	chr12:54070445	ATP5G2	chr12:54058945-54070512:-	0.09	3.41	0.000665	Height	
BRCA	cis	1	rs3900064	chr5:150264414	LOC134466	chr5:150310000-150326146:-	-0.24	-5.76	1.11E-8	Crohn's disease	
BRCA	cis	1	rs3905330	chr3:49550774	AMT	chr3:49454212-49460012:-	0.13	4.5	7.7E-6	Menarche (age at onset)	
BRCA	cis	1	rs3905330	chr3:49550774	CCDC36	chr3:49235861-49295537:+	0.1	3.75	0.000187	Menarche (age at onset)	
BRCA	cis	1	rs3905330	chr3:49550774	GMPPB	chr3:49758932-49761384:-	-0.13	-3.78	0.000168	Menarche (age at onset)	
BRCA	cis	1	rs3905330	chr3:49550774	NCKIPSD	chr3:48711280-48723334:-	0.15	3.91	9.93E-5	Menarche (age at onset)	
BRCA	cis	1	rs3905330	chr3:49550774	P4HTM	chr3:49027341-49044579:+	0.09	3.74	0.000197	Menarche (age at onset)	
BRCA	cis	1	rs3905330	chr3:49550774	WDR6	chr3:49044637-49053386:+	-0.15	-4.61	4.54E-6	Menarche (age at onset)	
BRCA	cis	1	rs3915165	chr3:119279351	CD80	chr3:119243142-119278481:-	0.12	4.27	2.09E-5	Vitiligo	
BRCA	cis	1	rs3915166	chr3:119279281	CD80	chr3:119243142-119278481:-	0.12	4.27	2.09E-5	Vitiligo	
BRCA	cis	1	rs3920455	chr12:91452184	KERA	chr12:91444273-91452131:-	-0.18	-4.43	1.02E-5	Diabetic kidney disease	
BRCA	cis	1	rs3923093	chr2:204798020	CD28	chr2:204571198-204602556:+	-0.09	-3.59	0.000349	Celiac disease	
BRCA	cis	1	rs3931020	chr1:75235317	CRYZ	chr1:75171175-75199092:-	-0.38	-10.3	8.88E-24	Resistin levels	
BRCA	cis	1	rs3932818	chr3:134206069	ANAPC13	chr3:134196547-134204865:-	0.41	13.73	1.2E-39	Height	
BRCA	cis	1	rs3932818	chr3:134206069	CEP63	chr3:134204575-134293852:+	0.16	4.47	8.53E-6	Height	
